orden,id,nombre_original,nombre_alternativo,ruta_relativa,distancia_km,puntos,elevacion,elevacion_min_m,elevacion_max_m,es_circuito,estado_revision,observaciones_automaticas,sha256_geometria
117,gilles-117-mez-por-el-tubo,MEZ-por el tubo,,gilles-117-mez-por-el-tubo/ruta.gpx,1.762,120,ausente,,,no,pendiente,tramo-corto|sin-elevacion,ec30497636c26bdc4b14d0d47573266c3e647a99f5c4a7d33324ed94da69d680
118,gilles-118-mez-por-la-oficina,MEZ-por la oficina,,gilles-118-mez-por-la-oficina/ruta.gpx,0.261,10,ausente,,,no,pendiente,tramo-muy-corto|sin-elevacion,9fdb338e036f802aaf9e4a47b8b73fbd4bae8b332d7de482b6ebdd84ffdfe9fd
119,gilles-119-mez-por-la-presa,MEZ-por la presa,,gilles-119-mez-por-la-presa/ruta.gpx,0.471,30,ausente,,,no,pendiente,tramo-muy-corto|sin-elevacion,bb002f88efc238c9e3fb0bdf517897b0081e21092fda0b0412a720ff4d6c59d2
120,gilles-120-mez-por-las-cascadas,MEZ-por las cascadas,,gilles-120-mez-por-las-cascadas/ruta.gpx,0.577,10,ausente,,,no,pendiente,tramo-corto|sin-elevacion,499ae5f50eb952c98032335e3090edb97dbfd03353192f1ab556c00ae30f7f9e
121,gilles-121-mez-por-los-miradores,MEZ-por los miradores,,gilles-121-mez-por-los-miradores/ruta.gpx,0.269,13,ausente,,,no,pendiente,tramo-muy-corto|sin-elevacion,1bfd9fd70c7b4544e8799028c258544bc7e2d6940011bd2285bc10c8445c7a5f
122,gilles-122-mez-por-piedras-grises,MEZ-por piedras grises,,gilles-122-mez-por-piedras-grises/ruta.gpx,0.801,18,ausente,,,no,pendiente,tramo-corto|sin-elevacion,47174f5d935a25aa47413c9f516a9bbc96c01679db7a2f72c6eb13d9f5ed8c00
123,gilles-123-mez-vereda-denise,MEZ-vereda-Denise,,gilles-123-mez-vereda-denise/ruta.gpx,0.479,25,completa,1986.9,2097.8,no,pendiente,tramo-muy-corto,c41d536e045a6ca954e27046829ca35faa239462711e271d1548853e9e4326b7
124,gilles-124-sac-a-la-cruz,SAC-a la Cruz,,gilles-124-sac-a-la-cruz/ruta.gpx,1.727,60,ausente,,,no,pendiente,tramo-corto|sin-elevacion,6f4a601a9cd5346200ece67f6263cce3d309c4f0290c56de7e39ca16dba43b5f
125,gilles-125-sac-a-las-torres,SAC-a las torres,,gilles-125-sac-a-las-torres/ruta.gpx,0.741,26,ausente,,,no,pendiente,tramo-corto|sin-elevacion,1fcff72a14b6779fa2b27fc0a776da50b0fe1c27ab58850cb791f5304795004e
126,gilles-126-sac-de-las-torres-a-la-carretera,SAC-de las torres a la carretera,,gilles-126-sac-de-las-torres-a-la-carretera/ruta.gpx,0.507,37,ausente,,,no,pendiente,tramo-corto|sin-elevacion,da4278d7f3205786ae0a84b20a661980b41423854b9bcef47c0d8fec9abf537c
127,gilles-127-sac-del-as-torres-al-pueblo,SAC-del as torres al pueblo,,gilles-127-sac-del-as-torres-al-pueblo/ruta.gpx,2.253,79,ausente,,,no,pendiente,sin-elevacion,cd4d6b8b6b861d937ef77fa9f70ba5e4372b3d615f48343093ec898b222eb6da
128,gilles-128-sca-camino-oriente,SCA-camino oriente,,gilles-128-sca-camino-oriente/ruta.gpx,4.314,75,completa,1481.9,1694.1,no,pendiente,,5b87c5447ac7bf70e3da7c3c7824fd703ebd1570b8235a0eac75ff501ec9ab7b
